bolum_id,gosterge_id,bolum_adi,istihdam_orani,akademik_istihdam_orani,yonetici_pozisyonu_istihdam_orani,girisimcilik_orani,ortalama_calisma_suresi_ay,katma_degerli_girisim_endeksi,nitelik_uygun_is_orani,nitelik_dusuk_uyusmazlik_orani,nitelik_orta_uyusmazlik_orani,nitelik_yuksek_uyusmazlik_orani,firma_mikro_olcekli_orani,firma_kucuk_olcekli_orani,firma_orta_olcekli_orani,firma_buyuk_olcekli_orani,maas_17002_tl_orani,maas_17003_24999_tl_orani,maas_25000_33999_tl_orani,maas_34000_50999_tl_orani,maas_51000_ustu_tl_orani,ise_baslama_mezun_olmadan_once_orani,ise_baslama_0_6_ay_orani,ise_baslama_6_12_ay_orani,ise_baslama_12_ay_ustu_orani,ise_gecis_ilk_1_ay_orani,ise_gecis_1_6_ay_orani,ise_gecis_6_12_ay_orani,ise_gecis_12_ay_ustu_orani,girisim_omru_0_12_ay_orani,girisim_omru_12_36_ay_orani,girisim_omru_36_60_ay_orani,girisim_omru_60_ay_ustu_orani,sektor_insan_saglik_sosyal_hizmet_orani,sektor_finans_sigorta_faaliyet_orani,sektor_egitim_orani,sektor_toptan_perakende_ticaret_motorlu_tasit_onarim_orani,sektor_imalat_orani,sektor_kamu_yonetim_savunma_sosyal_guvenlik_orani,sektor_insaat_orani,sektor_idari_destek_hizmet_orani,sektor_mesleki_bilimsel_teknik_orani,sektor_konaklama_yiyecek_hizmet_orani,sektor_ulasim_depolama_orani,sektor_bilgi_iletisim_orani,sektor_hanehalklari_isveren_faaliyetleri_orani,sektor_su_kanalizasyon_atik_yonetimi_orani,sektor_tarim_orman_baliksilik_orani,sektor_elektrik_gaz_buhar_uretimi_dagitim_orani,sektor_gayrimenkul_orani,sektor_kultur_sanat_eglence_dinlenme_spor_orani,sektor_madencilik_tas_ocakciligi_orani,sektor_diger_hizmet_orani,sektor_uluslararasi_org_temsil_faaliyet_orani
5,2024,Bilgisayar Mühendisliği,78.0,2.5,1.0,12.9,20.0,55.271,69.5,14.4,11.7,4.4,22.1,22.8,27.1,28.0,17.3,18.9,14.1,22.3,27.4,28.2,36.8,14.1,20.9,34.5,48.0,9.1,8.4,47.1,32.4,11.2,9.3,0.5,10.6,2.9,8.7,6.8,0.3,1.3,4.0,8.4,0.8,1.5,49.4,0.0,0.1,0.2,0.3,0.2,0.2,0.0,3.8,0.0
60,2024,Turizm,71.0,1.7,1.4,12.7,15.1,49.746,9.4,5.4,71.7,13.5,49.3,22.7,14.2,13.8,27.6,41.8,15.6,10.9,4.1,34.0,29.5,12.6,23.9,11.9,54.8,19.2,14.1,49.5,28.6,11.8,10.1,1.7,2.8,6.4,15.3,9.4,0.9,2.7,13.2,3.7,29.8,6.8,2.3,0.0,0.2,0.5,0.3,1.3,0.9,0.1,1.6,0.1
61,2024,Türk Dili ve Edebiyatı,62.0,1.8,1.2,5.9,13.0,49.3,56.8,3.2,30.9,9.1,33.7,25.2,22.5,18.6,24.9,36.5,22.4,14.6,1.6,8.2,30.6,12.2,49.0,7.9,50.0,21.2,20.9,53.9,28.6,9.8,7.7,2.1,0.9,52.3,12.4,7.0,2.8,2.8,6.8,2.4,3.9,2.0,1.5,0.0,0.1,0.5,0.1,0.4,0.4,0.1,1.5,0.0
62,2024,Türkçe Öğretmenliği,79.0,1.0,0.6,3.7,18.9,48.833,76.6,1.6,16.2,5.6,15.3,14.6,26.2,43.9,11.6,30.1,25.5,30.9,1.9,3.3,41.3,9.6,45.8,7.9,62.4,15.6,14.1,53.7,28.5,9.9,7.9,1.5,0.5,60.1,9.2,5.6,4.1,3.0,6.7,1.9,3.3,1.7,0.8,0.0,0.1,0.6,0.1,0.4,0.3,0.1,,0.0
63,2024,Tıp,92.0,14.5,0.1,4.5,20.7,50.72,99.3,0.1,0.3,0.3,2.3,5.5,20.8,71.4,0.0,0.0,2.4,35.1,62.5,2.2,87.2,5.2,5.4,8.0,71.3,12.1,8.6,51.5,36.4,9.6,2.5,67.4,2.0,14.2,4.0,2.3,0.4,1.0,1.4,5.4,0.4,0.5,0.5,0.0,0.0,0.1,0.1,0.1,0.1,0.1,,
64,2024,Uluslararası Ticaret,76.0,0.6,1.9,17.9,17.7,51.125,12.0,17.4,58.2,12.4,51.7,21.4,14.6,12.3,30.9,35.6,15.3,12.0,6.2,22.6,30.4,15.9,31.1,22.2,51.8,15.2,10.8,47.5,27.1,13.8,11.6,1.0,6.5,2.5,22.8,20.0,0.4,3.3,7.7,7.1,3.8,17.4,2.8,0.0,0.3,0.7,0.4,1.0,0.5,0.2,1.5,0.1
65,2024,Uçak Mühendisliği,77.0,4.9,0.9,8.0,26.5,52.781,77.9,7.0,11.7,3.4,16.0,18.2,21.6,44.2,18.8,11.8,12.0,18.4,39.0,28.2,32.7,17.8,21.3,21.8,56.1,11.6,10.5,48.7,29.8,11.6,9.9,0.4,0.8,3.8,2.8,50.8,0.1,1.0,6.5,12.7,0.5,9.9,8.2,,0.0,0.4,0.6,0.2,0.2,,1.0,0.1
66,2024,Veterinerlik,83.0,4.5,0.7,38.0,21.5,45.936,69.6,10.0,13.5,6.9,52.1,33.6,11.4,2.9,21.5,17.2,14.8,37.6,8.9,10.6,46.8,19.7,22.9,15.3,62.5,12.7,9.5,24.0,28.4,22.2,25.4,2.4,1.4,2.0,12.6,13.3,1.6,1.6,3.5,53.2,1.6,1.3,0.4,0.1,0.5,4.0,0.0,0.0,0.5,0.0,,0.0
67,2024,Yabancı Diller,69.0,4.0,1.3,8.2,16.3,50.234,57.4,5.6,30.6,6.4,30.7,24.9,23.6,20.8,21.3,35.4,20.8,16.8,5.7,12.5,40.7,13.9,32.9,11.0,57.9,17.0,14.1,51.9,27.4,11.4,9.3,2.3,1.4,39.5,11.1,8.2,1.2,2.0,8.9,6.2,4.2,6.7,4.1,0.0,0.1,0.3,0.1,0.6,0.7,0.1,1.9,0.4
68,2024,Ziraat ve Tarım,74.0,1.6,1.6,19.6,18.4,49.481,42.5,11.5,32.7,13.3,57.8,24.9,9.3,8.0,31.2,33.8,15.4,14.9,4.7,13.7,29.5,17.3,39.5,15.0,51.6,17.4,16.0,48.9,26.8,12.2,12.1,1.1,6.3,3.8,27.6,17.5,1.2,3.8,8.4,7.5,3.2,3.5,1.2,0.0,0.4,10.8,0.4,0.6,0.3,0.1,2.2,0.1
6,2024,Bilgisayar ve Öğretim Teknolojileri Öğretmenliği,83.0,2.0,0.9,8.3,20.3,51.222,60.4,8.0,24.1,7.5,22.7,22.2,27.7,27.4,15.0,30.4,20.3,30.0,4.3,11.7,39.4,12.2,36.7,12.0,60.4,15.5,12.1,52.3,25.6,10.6,11.5,2.0,3.0,34.8,12.4,11.1,1.4,2.6,6.1,4.8,2.4,2.9,14.8,0.0,0.1,0.5,0.3,0.4,0.3,0.1,,0.0
7,2024,Biyoloji,69.0,3.0,1.5,9.6,19.2,50.208,48.5,13.1,30.7,7.7,36.9,26.8,20.6,15.7,18.0,40.3,20.2,18.5,3.0,12.0,31.4,15.9,40.7,10.9,47.8,19.9,21.4,48.9,28.2,11.8,11.1,11.5,1.8,29.4,15.4,11.5,1.4,2.3,5.9,9.7,2.6,2.4,1.9,0.0,0.4,0.8,0.2,0.5,0.4,0.1,1.8,0.0
8,2024,Biyomühendislik,62.0,5.9,2.2,8.7,14.2,51.86,45.4,13.3,33.0,8.3,39.8,26.1,21.1,13.0,32.8,32.8,16.2,13.6,4.6,14.2,28.8,17.5,39.5,21.8,49.1,14.9,14.2,51.3,31.7,11.1,5.9,9.9,1.2,12.3,20.6,21.9,0.7,1.9,5.7,13.9,2.5,1.8,3.8,0.0,0.3,1.0,0.3,0.3,0.3,0.1,1.5,0.0
9,2024,Coğrafya,67.0,0.9,1.3,6.8,12.3,48.855,45.8,4.2,36.5,13.5,33.0,23.4,20.1,23.5,27.5,36.6,19.1,15.2,1.6,9.5,31.8,12.0,46.7,8.8,54.5,20.2,16.5,55.8,28.1,10.0,6.1,1.9,0.9,44.7,13.2,8.8,2.8,5.5,7.4,2.2,4.7,3.1,1.2,0.0,0.2,0.8,0.3,0.6,0.3,0.1,1.3,0.0
